"Action","Action"
"Active","Actif"
"Add New FAQ Category","Ajouter une catégorie FAQ"
"Add New FAQ Item","Ajouter une question FAQ"
"All Store Views","Toutes les vues magasin"
"Answer","Réponse"
"Back","Retour"
"Back to the FAQ overview", "Retour à la vue d'ensemble"
"Category","Catégorie"
"Category #","Catégorie #"
"Category Information","Information sur la catégorie"
"Category Name","Nom de la catégorie"
"Content","Contenu"
"Delete FAQ item","Supprimer la question"
"Disabled","Désactiver"
"Display all FAQ items","Afficher toutes les questions"
"Edit","Editer"
"Edit FAQ item '%s'","Editer la question '%s'"
"Enabled","Activer"
"FAQ Item was successfully saved","La question a bien été sauvegardée"
"FAQ","FAQ"
"FAQ #","Entrée #"
"FAQ item information","Réponde"
"FAQ item question","Question"
"FAQ overview","Vue d'ensemble FAQ"
"General information","Information générale"
"HTML answer","réponse en HTML"
"Images","Images"
"Manage Categories","Gérer les catégorie"
"Manage FAQ Categories","Gérer les catégorie FAQ"
"Manage FAQ Items","Gérer les questions FAQ"
"Manage Items","Gérer les questions"
"New FAQ Category","Nouvelle catégorie FAQ"
"New FAQ item","Nouvelle question FAQ"
"No","Nom"
"No records found.","Aucune entrée trouvée."
"of %s pages","sur %d pages"
"Page","Page"
"Page status","Status de la page"
"per page","par page"
"Publication date","Date de publication"
"Published on","Publié le"
"Reset","Remise à zéro"
"Reset Filter","Remise à zéro des filtres"
"Save and continue edit","Enregistrer et continuer à editer"
"Save FAQ Category","Enregistrer la categorie"
"Save FAQ item","Enregistrer la question"
"Search","Chercher"
"Status","Status"
"Store view","Vue magasin"
"There are no FAQ items at the moment.","Il n'y a aucune entrée FAQ pour le moment."
"Question","Question"
"Total %d records found","%s questions trouvées"
"View","Voir"
"Yes","Oui"
"position","Ordre"