"Action","Aktie"
"Active","Aktief"
"Add New FAQ Category","Nieuwe FAQ categorie aanmaken"
"Add New FAQ Item","Nieuwe FAQ bijdrage aanmaken"
"All Store Views","Alle StoreViews"
"Answers","Antwoorden"
"Back","Terug"
"Back to the FAQ overview", "Terug naar het FAQ overzicht"
"Category","Categorie"
"Category #","Categorie Nummer"
"Category Information","Categorie informatie"
"Category Name","Categorie naam"
"Content","Inhoud"
"Delete FAQ item","FAQ bijdrage verwijderen"
"Disabled","Uitgeschakeld"
"Display all FAQ items","Alle FAQ-bijdragen weergeven"
"Edit","Bewerken"
"Edit FAQ item '%s'","FAQ bijdrage '%s' bewerken"
"Enabled","Ingeschakeld"
"FAQ Item was successfully savend","De FAQ bijdrage is met succes opgeslagen"
"FAQ","FAQ"
"FAQ #","FAQ. Nr."
"FAQ item information","FAQ bijdrage nummer"
"FAQ item question","FAQ bijdrage vraag"
"FAQ overview","Overzicht Veel gestelde Vragen"
"Frequently Asked Questions","Veel Gestelde Vragen"
"General information","Algemene Informatie"
"HTML answer","HTML Antwoord"
"Images","Afbeeldingen"
"Manage Categories","Categori‘n beheren"
"Manage FAQ Categories","FAQ categori‘n beheren"
"Manage FAQ Items","FAQ bijdragen beheren"
"Manage Items","Bijdragen beheren"
"New FAQ Category","Nieuwe FAQ Categorie"
"New FAQ item","Nieuwe FAQ Bijdrage"
"No","Nee"
"No records fond.","Geeb bijdragen gevonden."
"of %s pages","van %d Pagina's"
"Page","Pagina"
"Page status","Pagina Status"
"per page","Per Pagina"
"Publication date","Publicatiedatum"
"Published on","Gepubliceerd op"
"Reset","Herstellen"
"Reset Filter","Herstel Filter"
"Save and continue edit","Opslaan en verdure bewerken"
"Save FAQ Category","FAQ Categorie opslaan"
"Save FAQ item","FAQ bijdrage opslaan"
"Search","Zoeken"
"Status","Status"
"Store view","StoreView"
"There are no FAQ items at the moment.","Er zijn gene FAQ bijdragen op ditto moment."
"Questions","Vragen"
"Total %d records fond","In totaal %s vragen gevonden"
"View","Weergeven"
"Yes","Ja"